air_temperature [Celsius],baromatic_pressure [hPa],ceiling_fan_energy [kWh],chilled_water_energy [kWh],dry_bulb_temp [Celsius],global_horizontal_solar_radiation [W/m2],illuminance [lux],indoor_co2 [ppm],indoor_relative_humidity [%],lighting_energy [kWh],occupant_count [number],occupant_presence [binary],outdoor_co2 [ppm],outdoor_relative_humidity [%],plug_load_energy [kWh],pm2.5 [mu_g/m3],sound_pressure_level [dba],supply_air_pressure [Pa],supply_air_temperature [Celsius],temp_setpoint [Celsius],timestamp,voc [ppb],wifi_connected_devices [number],wind_direction [Degree],wind_speed [m/s]
23.56433296,1005.198364,0.0,0.0,26.10163116,0.0,0.0,453.5,52.01966476,0.0,0,0,463.0935364,97.70488739,0.0,2.066666603,57.07333374,0.0,25.7222805,26.0,2021-09-07 00:00 +08:00,20.0,1,108.0929718,0.189999998
23.4873333,1005.198425,0.00218,0.0,26.10161591,0.0,0.0,448.8666687,51.08066559,0.004883,0,0,462.0963135,97.40485382,0.016742,1.966666698,57.01666641,0.0,25.84374428,26.1,2021-09-07 00:05 +08:00,20.0,1,91.17533112,0.152101263
23.42399979,1005.200012,0.002093,0.0,26.10000038,0.0,0.0,447.3333435,50.41066742,0.004184,0,0,463.4760742,97.40000153,0.016391,1.833333373,57.08333206,0.0,25.84374428,26.2,2021-09-07 00:10 +08:00,20.0,1,88.30000305,0.150000006
23.25300026,1005.200012,0.00218,0.0,26.10000038,0.0,0.0,446.0666809,50.50266647,0.004883,0,0,462.886261,97.29837799,0.016741,1.700000048,57.0933342,0.0,25.84374428,26.2,2021-09-07 00:15 +08:00,20.0,1,109.6999969,0.150000006
23.30900002,1005.003235,0.002092,0.0,26.10162163,0.0,0.0,444.3666687,50.30766678,0.004883,0,0,462.4961548,97.40324402,0.016393,1.666666627,57.01666641,0.0,25.96524048,26.2,2021-09-07 00:20 +08:00,20.0,1,211.6000061,0.150000006
23.29178619,1005.0,0.00218,0.0,26.10162544,0.0,0.0,439.7857056,50.14321518,0.004186,0,0,464.2661133,97.59999847,0.016742,1.357142806,58.91428757,0.0,25.96524048,26.3,2021-09-07 00:25 +08:00,22.9642849,1,211.6000061,0.150000006
23.26499939,1005.0,0.00218,0.0,26.10000038,0.0,0.0,435.7666626,49.80666733,0.004882,0,0,462.6895752,97.59999847,0.016391,1.166666627,57.20999908,0.0,26.08673477,26.3,2021-09-07 00:30 +08:00,20.29999924,1,260.9851685,0.150000006
23.2140007,1005.0,0.002093,0.0,26.10000038,0.0,0.0,435.5,49.73333359,0.004883,0,0,462.4994202,97.19999695,0.016742,1.200000048,56.94333267,0.0,26.08673477,26.3,2021-09-07 00:35 +08:00,20.0,1,354.5023193,0.129999995
23.17000008,1004.996765,0.002179,0.0,26.20000076,2.0,0.0,434.8620605,49.44276047,0.004185,0,0,464.4758606,97.19999695,0.016392,1.034482718,57.14827728,0.0,26.08673477,26.3,2021-09-07 00:40 +08:00,20.0,1,272.5443115,0.209999993
23.23999977,1004.900024,0.002093,0.0,26.20000076,1.01632762,0.0,433.3666687,49.03966522,0.004882,0,0,462.3092651,97.19999695,0.01674,1.066666722,57.07333374,0.0,26.08673477,26.3,2021-09-07 00:45 +08:00,20.0,1,19.20468712,0.408367246
23.18133354,1004.898376,0.00218,0.0,26.39999962,0.0,0.0,428.7666626,48.80666733,0.004883,0,0,463.8890686,97.79676056,0.016393,1.066666722,57.18333435,0.0,26.20823097,26.3,2021-09-07 00:50 +08:00,20.0,1,8.388350487,0.425942749
23.16033363,1004.900024,0.002092,0.0,26.29999924,0.0,0.0,430.8666687,48.63533401,0.004186,0,0,463.2958374,97.69999695,0.016742,1.0,57.10333252,0.0,26.20823097,26.3,2021-09-07 00:55 +08:00,20.0,1,93.37058258,0.370000005
23.0996666,1004.799988,0.00218,0.0,26.29999924,0.0,0.0,431.5666809,48.61233521,0.004883,0,0,464.272583,97.20162201,0.016391,1.033333302,57.06000137,0.0,26.20823097,26.3,2021-09-07 01:00 +08:00,20.0,1,96.08514404,0.349999994
22.9829998,1004.799988,0.001919,0.0,26.29999924,0.0,0.0,428.3666687,48.61899948,0.004883,0,0,462.6895752,97.0,0.015696,1.0,57.08666611,0.0,26.20823097,26.3,2021-09-07 01:05 +08:00,20.0,1,53.9322319,0.328060389
22.91799927,1004.799988,0.001918,0.0,26.29999924,0.0,0.0,428.4666748,48.63100052,0.004185,0,0,462.7025757,96.80000305,0.015694,1.0,57.29000092,0.0,26.32975769,26.3,2021-09-07 01:10 +08:00,20.0,1,63.04958344,0.7950176
22.80428505,1004.700012,0.001918,0.0,26.39999962,0.0,0.0,425.7142944,48.81785583,0.004883,0,0,462.7025146,96.20485687,0.015694,1.0,58.83214188,0.0,26.20823097,26.3,2021-09-07 01:15 +08:00,22.2142849,1,75.96520233,0.598380387
22.79333305,1004.599976,0.001831,0.0,26.39999962,0.0,0.0,429.2333374,48.72333145,0.004883,0,0,462.1092224,96.0,0.015696,1.0,57.81999969,0.0,26.32975769,26.3,2021-09-07 01:20 +08:00,22.06666756,1,91.66123199,0.419999987
22.78466606,1004.599976,0.001918,0.0,26.39999962,0.0,0.0,429.1000061,48.58233261,0.004184,0,0,463.089386,96.19999695,0.015694,1.066666722,57.50333405,0.0,26.32975769,26.3,2021-09-07 01:25 +08:00,20.03333282,1,100.954422,0.456907123
22.72034454,1004.700012,0.001919,0.0,26.40161514,0.0,0.0,428.758606,48.6051712,0.004883,0,0,462.8895264,96.5,0.015695,1.0,57.37931061,0.0,26.32975769,26.3,2021-09-07 01:30 +08:00,20.0,1,78.27254486,0.222422689
