air_temperature [Celsius],baromatic_pressure [hPa],ceiling_fan_energy [kWh],chilled_water_energy [kWh],dry_bulb_temp [Celsius],global_horizontal_solar_radiation [W/m2],illuminance [lux],indoor_co2 [ppm],indoor_relative_humidity [%],lighting_energy [kWh],occupant_count [number],occupant_presence [binary],outdoor_co2 [ppm],outdoor_relative_humidity [%],plug_load_energy [kWh],pm2.5 [mu_g/m3],sound_pressure_level [dba],supply_air_pressure [Pa],supply_air_temperature [Celsius],temp_setpoint [Celsius],timestamp,voc [ppb],wifi_connected_devices [number],wind_direction [Degree],wind_speed [m/s]
26.66866684,1005.198364,0.0,0.0,26.10163116,0.0,0.0,430.1000061,72.75533295,0.0,0,0,463.0935364,97.70488739,0.0,4.0,48.81999969,0.6376795,26.39904,25.8,2021-09-07 00:00 +08:00,20.0,0,108.0929718,0.189999998
26.44833374,1005.198425,0.005087,0.0,26.10161591,0.0,0.986666679,427.2666626,70.09266663,0.0114,0,0,462.0963135,97.40485382,0.03906,3.766666651,48.43333435,0.6376795,26.39904,25.9,2021-09-07 00:05 +08:00,20.0,0,91.17533112,0.152101263
26.28100014,1005.200012,0.004882,0.0,26.10000038,0.0,6.769999981,424.4666748,70.66999817,0.00976,0,0,463.4760742,97.40000153,0.03825,3.533333302,51.75333405,0.6376795,26.39904,25.9,2021-09-07 00:10 +08:00,20.0,0,88.30000305,0.150000006
26.49266624,1005.200012,0.005087,0.0,26.10000038,0.0,6.983333111,422.3999939,74.74299622,0.01139,0,0,462.886261,97.29837799,0.03906,3.700000048,49.68999863,0.6376795,26.52019,25.9,2021-09-07 00:15 +08:00,20.0,0,109.6999969,0.150000006
26.35620689,1005.003235,0.004883,0.0,26.10162163,0.0,6.979310513,422.5172424,74.72000122,0.0114,0,0,462.4961548,97.40324402,0.03825,3.241379261,49.22068787,0.6376795,26.52019,26.0,2021-09-07 00:20 +08:00,20.0,0,211.6000061,0.150000006
26.17933273,1005.0,0.005086,0.0,26.10162544,0.0,8.350000381,424.7333374,71.93166351,0.00976,0,0,464.2661133,97.59999847,0.03907,3.066666603,49.86000061,0.6376795,26.64131,26.0,2021-09-07 00:25 +08:00,20.0,0,211.6000061,0.150000006
26.45299911,1005.0,0.005086,0.0,26.10000038,0.0,7.406666756,422.9666748,74.32099915,0.0114,0,0,462.6895752,97.59999847,0.03824,3.099999905,50.1566658,0.6376795,26.76249,26.0,2021-09-07 00:30 +08:00,20.0,0,260.9851685,0.150000006
26.43133354,1005.0,0.004883,0.0,26.10000038,0.0,8.46333313,425.1666565,75.30833435,0.01139,0,0,462.4994202,97.19999695,0.03907,3.033333302,50.65333176,0.6376795,26.76249,26.0,2021-09-07 00:35 +08:00,20.0,0,354.5023193,0.129999995
26.09892845,1004.996765,0.005086,0.0,26.20000076,2.0,10.05000019,424.1785583,72.04178619,0.00976,0,0,464.4758606,97.19999695,0.03825,3.25,50.62142944,0.6376795,26.76249,26.0,2021-09-07 00:40 +08:00,20.0,0,272.5443115,0.209999993
26.30266762,1004.900024,0.004883,0.0,26.20000076,1.01632762,8.163332939,425.3999939,73.16699982,0.0114,0,0,462.3092651,97.19999695,0.03906,3.200000048,50.43000031,0.6376795,26.76249,26.0,2021-09-07 00:45 +08:00,20.0,0,19.20468712,0.408367246
