air_temperature [Celsius],baromatic_pressure [hPa],ceiling_fan_energy [kWh],chilled_water_energy [kWh],dry_bulb_temp [Celsius],global_horizontal_solar_radiation [W/m2],illuminance [lux],indoor_co2 [ppm],indoor_relative_humidity [%],lighting_energy [kWh],occupant_count [number],occupant_presence [binary],outdoor_co2 [ppm],outdoor_relative_humidity [%],plug_load_energy [kWh],pm2.5 [mu_g/m3],sound_pressure_level [dba],supply_air_pressure [Pa],supply_air_temperature [Celsius],temp_setpoint [Celsius],timestamp,voc [ppb],wifi_connected_devices [number],wind_direction [Degree],wind_speed [m/s]
28.02499962,1005.198364,0.0,0.0,26.10163116,0.0,87.12999725,498.8333435,73.15599823,0.0,0,0,463.0935364,97.70488739,0.0,9.233333588,57.03333282,0.0,25.54532814,25,2021-09-07 00:00 +08:00,20.0,0,108.0929718,0.189999998
28.0253334,1005.198425,0.00293,0.0,26.10161591,0.0,89.02666473,506.0666809,73.41233063,0.0012817,0,0,462.0963135,97.40485382,0.047851,7.833333492,57.14333344,0.0,25.67584419,25,2021-09-07 00:05 +08:00,20.0,1,91.17533112,0.152101263
27.94833374,1005.200012,0.002685,0.0,26.10000038,0.0,89.81999969,495.0,71.40233612,0.0012207,0,0,463.4760742,97.40000153,0.046875,6.699999809,57.11666489,0.0,25.87946892,25,2021-09-07 00:10 +08:00,20.0,1,88.30000305,0.150000006
27.78199959,1005.200012,0.00293,0.0,26.10000038,0.0,90.48000336,484.0,69.08799744,0.0012818,0,0,462.886261,97.29837799,0.047852,5.966666698,56.97999954,0.0,25.88114357,25,2021-09-07 00:15 +08:00,20.0,1,109.6999969,0.150000006
27.66766739,1005.003235,0.002686,0.0,26.10162163,0.0,90.22666931,474.8666687,67.0573349,0.0012207,0,0,462.4961548,97.40324402,0.046875,5.033333302,57.55666733,0.0,25.98722839,25,2021-09-07 00:20 +08:00,20.0,1,211.6000061,0.150000006
27.58296204,1005.0,0.002929,0.0,26.10162544,0.0,31.207407,467.1481628,65.38963318,0.0012817,0,0,464.2661133,97.59999847,0.047852,4.444444656,56.98147964,0.0,25.98722839,25,2021-09-07 00:25 +08:00,20.0,2,211.6000061,0.150000006
27.42566681,1005.0,0.00293,0.0,26.10000038,0.0,18.14666748,460.2333374,64.2539978,0.0012207,0,0,462.6895752,97.59999847,0.047851,4.099999905,57.81000137,0.0,25.98722839,25,2021-09-07 00:30 +08:00,20.0,1,260.9851685,0.150000006
27.3239994,1005.0,0.002686,0.0,26.10000038,0.0,22.45000076,453.7333374,63.45433426,0.0012817,0,0,462.4994202,97.19999695,0.046875,3.5,57.93333435,0.0,25.74999809,25,2021-09-07 00:35 +08:00,20.0,1,354.5023193,0.129999995
27.21500015,1004.996765,0.002929,0.0,26.20000076,2.0,22.54333305,447.7000122,62.89933395,0.0012207,0,0,464.4758606,97.19999695,0.047852,3.333333254,57.87666702,0.0,25.53165436,25,2021-09-07 00:40 +08:00,20.0,3,272.5443115,0.209999993
27.16333389,1004.900024,0.002686,0.0,26.20000076,1.01632762,24.20000076,442.3666687,62.37266541,0.0012818,0,0,462.3092651,97.19999695,0.046875,3.333333254,58.58666611,0.0,25.74428749,25,2021-09-07 00:45 +08:00,20.0,3,19.20468712,0.408367246
27.07133293,1004.898376,0.002929,0.0,26.39999962,0.0,21.37000084,441.4666748,62.01766586,0.0012207,0,0,463.8890686,97.79676056,0.047851,3.066666603,58.38999939,0.0,25.74593925,25,2021-09-07 00:50 +08:00,20.0,3,8.388350487,0.425942749
27.0423336,1004.900024,0.002686,0.0,26.29999924,0.0,89.32666779,442.1000061,61.60533524,0.0012817,0,0,463.2958374,97.69999695,0.046875,3.233333349,59.16666794,0.0,25.51780319,25,2021-09-07 00:55 +08:00,20.0,3,93.37058258,0.370000005
27.11766624,1004.799988,0.00293,0.0,26.29999924,0.0,94.20999908,447.2999878,60.93399811,0.0012207,0,0,464.272583,97.20162201,0.047852,3.099999905,59.43999863,0.0,25.40390587,25,2021-09-07 01:00 +08:00,20.0,1,96.08514404,0.349999994
27.08366585,1004.799988,0.002929,0.0,26.29999924,0.0,94.86333466,448.0,60.45100021,0.0011597,0,0,462.6895752,97.0,0.046875,2.900000095,59.10333252,0.0,25.40390587,25,2021-09-07 01:05 +08:00,20.0,1,53.9322319,0.328060389
27.05966759,1004.799988,0.00293,0.0,26.29999924,0.0,97.92333221,452.3333435,60.35566711,0.0011597,0,0,462.7025757,96.80000305,0.046875,3.033333302,60.38333511,0.0,25.40390587,25,2021-09-07 01:10 +08:00,20.0,1,63.04958344,0.7950176
27.05107117,1004.700012,0.00293,0.0,26.39999962,0.0,106.7821426,462.0,60.09607315,0.0011596,0,0,462.7025146,96.20485687,0.046875,2.678571463,59.36071396,0.0,25.40390587,25,2021-09-07 01:15 +08:00,20.0,1,75.96520233,0.598380387
27.0651722,1004.599976,0.002929,0.0,26.39999962,0.0,108.1931,469.2758484,59.70965576,0.0011597,0,0,462.1092224,96.0,0.046875,2.517241478,60.5724144,0.0,25.40390587,25,2021-09-07 01:20 +08:00,20.0,1,91.66123199,0.419999987
27.03100014,1004.599976,0.00293,0.0,26.39999962,0.0,110.5599976,472.5333252,59.47433472,0.0011597,0,0,463.089386,96.19999695,0.046875,2.633333445,59.18333435,0.0,25.63883209,25,2021-09-07 01:25 +08:00,20.0,4,100.954422,0.456907123
27.02300072,1004.700012,0.00293,0.0,26.40161514,0.0,115.8199997,477.8666687,59.31066513,0.0012207,0,0,462.8895264,96.5,0.047851,2.933333397,58.89666748,0.0,25.87998009,25,2021-09-07 01:30 +08:00,20.0,4,78.27254486,0.222422689
27.04599953,1004.599976,0.002685,0.0,26.5,0.0,124.1566696,475.9666748,59.00299835,0.0011596,0,0,462.3352661,96.79837799,0.046875,2.666666746,59.16333389,0.0,25.98644257,25,2021-09-07 01:35 +08:00,20.0,3,93.50069427,0.593814075
27.03633308,1004.599976,0.00293,0.0,26.5,0.0,122.1800003,467.9666748,58.72433472,0.0011597,0,0,463.4892578,97.0,0.046875,2.5,58.90333176,0.0,25.98644257,25,2021-09-07 01:40 +08:00,20.0,1,91.47554016,0.372424573
27.01499939,1004.599976,0.00293,0.0,26.60000038,0.0,118.0333328,464.0,58.55666733,0.0011597,0,0,462.6983032,97.1967392,0.046875,2.133333445,59.06999969,0.0,25.87438774,25,2021-09-07 01:45 +08:00,20.0,1,109.3006058,0.479999989
26.99900055,1004.400024,0.002929,0.0,26.60000038,0.0,110.3733368,459.2000122,58.54166794,0.0011596,0,0,463.8973389,97.5,0.046875,2.200000048,59.20000076,0.0,25.97886086,25,2021-09-07 01:50 +08:00,20.0,1,101.9088821,0.360000014
26.96133423,1004.400024,0.00293,0.0,26.70000076,0.0,111.0733337,458.3999939,58.7519989,0.0011597,0,0,463.1089478,97.79837036,0.046875,2.299999952,57.31999969,0.0,26.08903885,25,2021-09-07 01:55 +08:00,20.0,1,11.19999981,0.059999999
26.94300079,1004.398376,0.00293,0.0,26.60162163,0.0,112.7433319,459.9333191,58.92200089,0.0011597,0,0,463.3120422,97.50324249,0.046875,2.266666651,57.80333328,0.0,26.08903885,25,2021-09-07 02:00 +08:00,20.0,1,163.8212585,0.101945542
26.94428635,1004.400024,0.00293,0.0,26.60000038,0.016327905,112.8214264,462.8928528,58.94142914,0.0012817,0,0,463.7022095,97.69999695,0.047852,2.678571463,57.70714188,0.0,25.82501793,25,2021-09-07 02:05 +08:00,20.0,1,108.8235245,0.200000003
26.95517159,1004.400024,0.002929,0.0,26.60000038,0.0,114.4000015,466.9655151,58.85137939,0.0012207,0,0,463.0991516,98.09999847,0.048828,4.379310131,58.72758484,0.0,25.82501793,25,2021-09-07 02:10 +08:00,20.0,1,1.500844002,0.112276658
26.93799973,1004.398376,0.00293,0.0,26.60000038,0.0,112.5500031,468.5,58.76966476,0.0012818,0,0,464.2887878,97.90000153,0.047852,3.633333445,58.7733345,0.0,25.82501793,25,2021-09-07 02:15 +08:00,20.0,1,329.7065125,0.237870991
26.9489994,1004.299988,0.00293,0.0,26.60000038,0.0,118.9100037,466.9333191,58.49966812,0.0012207,0,0,464.4790344,98.09999847,0.048828,2.733333349,58.91999817,0.0,25.93286324,25,2021-09-07 02:20 +08:00,20.0,2,338.9004211,0.169988349
26.9090004,1004.350098,0.002929,0.0,26.60000038,0.0,119.3600006,469.7000122,58.5933342,0.0012817,0,0,464.2727661,98.09999847,0.047851,2.533333302,57.79666519,0.0,25.93286324,25,2021-09-07 02:25 +08:00,20.0,1,185.5364075,0.135129824
26.90133286,1004.299988,0.00293,0.0,26.60000038,0.0,119.6900024,474.7666626,58.64899826,0.0012207,0,0,463.1219788,98.10001373,0.048828,2.733333349,57.28666687,0.0,25.93286324,25,2021-09-07 02:30 +08:00,20.0,2,92.31917572,0.07000915
26.87566757,1004.299988,0.00293,0.0,26.60000038,0.0,122.0733337,478.9666748,58.69599915,0.0012817,0,0,463.4957275,98.19999695,0.047852,2.400000095,56.96666718,0.0,26.14570808,25,2021-09-07 02:35 +08:00,20.0,1,269.3999939,0.071941637
26.85099983,1004.299988,0.002929,0.0,26.5,0.0,128.0899963,479.2999878,58.84266663,0.0012207,0,0,463.8955688,98.30000305,0.047852,2.666666746,58.88333511,0.0,26.14570808,25,2021-09-07 02:40 +08:00,20.0,1,84.5,0.140000001
26.84233284,1004.299988,0.00293,0.0,26.5,0.0,129.1166687,475.2000122,59.11533356,0.0012818,0,0,463.2893677,98.5,0.048828,3.333333254,57.81666565,0.0,26.04645348,25,2021-09-07 02:45 +08:00,20.0,1,350.1734924,0.277730167
26.81666756,1004.299988,0.00293,0.0,26.5,0.98365587,128.1766663,471.9666748,59.41466522,0.0012207,0,0,463.3056946,98.80000305,0.047851,4.099999905,57.86000061,0.0,26.15772247,25,2021-09-07 02:50 +08:00,20.0,1,119.4642639,0.100000001
26.84827614,1004.10321,0.002929,0.0,26.5,0.0,127.3241348,470.1724243,59.49965668,0.0012817,0,0,463.892334,99.19675446,0.048828,3.965517282,58.15861893,0.0,26.2687912,25,2021-09-07 02:55 +08:00,20.0,1,117.4000015,0.100000001
26.86137962,1004.200012,0.00293,0.0,26.5,0.983848751,129.6758575,465.0,59.5241394,0.0012207,0,0,463.8858032,99.30000305,0.047852,4.379310131,58.77931213,0.0,26.03961945,25,2021-09-07 03:00 +08:00,20.0,1,116.0141602,0.230000004
26.85586166,1004.200012,0.00293,0.0,26.5,0.0,126.396553,464.2758484,59.62482834,0.0012207,0,0,464.4822693,99.5,0.045898,4.034482956,61.35861969,0.0,26.03961945,25,2021-09-07 03:05 +08:00,20.0,1,115.1472092,0.244329512
26.8686676,1004.200012,0.002929,0.0,26.60000038,0.0,122.7166672,465.3999939,59.48333359,0.0012818,0,0,463.7118225,99.29998016,0.045899,4.133333206,59.41666794,0.0,26.03961945,25,2021-09-07 03:10 +08:00,20.0,1,79.99819946,0.219999999
26.89366722,1004.099976,0.00293,0.0,26.60000038,0.0,122.4599991,470.7999878,59.125,0.0012207,0,0,463.508728,99.0,0.045898,4.066666603,59.86333466,0.0,26.03961945,25,2021-09-07 03:15 +08:00,20.0,2,266.3431396,0.413657755
26.88933372,1004.099976,0.00293,0.0,26.70000076,1.983770967,130.4600067,474.1666565,58.96966553,0.0012817,0,0,463.892334,97.90324402,0.045899,3.833333254,60.2266655,0.0,26.14281082,25,2021-09-07 03:20 +08:00,20.0,1,308.8464966,0.319026262
26.91433334,1004.099976,0.00293,0.0,26.70000076,1.999950171,134.2866669,477.1666565,58.87166595,0.0012207,0,0,464.0791321,97.80000305,0.045898,3.900000095,59.56999969,0.0,26.25242043,25,2021-09-07 03:25 +08:00,20.0,1,266.5005188,0.779994488
26.93233299,1004.099976,0.002929,0.0,26.70000076,0.0,137.1033325,481.2666626,58.71500015,0.0012817,0,0,463.9053345,97.70162201,0.045899,3.766666651,59.92666626,0.0,26.25242043,25,2021-09-07 03:30 +08:00,20.0,1,267.0032654,0.620487869
26.93733406,1004.099976,0.002686,0.0,26.70000076,0.0,122.3499985,486.9333191,58.61933517,0.0012207,0,0,465.4621277,98.29508972,0.044921,3.766666651,59.60666656,0.0,26.14881516,25,2021-09-07 03:35 +08:00,20.0,1,298.53479,0.566386998
26.95633316,1004.099976,0.002929,0.0,26.70000076,0.016278343,85.58999634,489.3333435,58.5423317,0.0012208,0,0,463.8988342,98.5,0.045899,3.900000095,60.7733345,0.0,26.14881516,25,2021-09-07 03:40 +08:00,20.0,2,297.1235046,0.738697767
26.93700027,1003.900024,0.00293,0.0,26.60000038,0.0,84.73999786,495.9666748,58.45666504,0.0012817,0,0,464.8851624,99.49676514,0.045898,4.133333206,61.79999924,0.0,26.26989365,25,2021-09-07 03:45 +08:00,20.0,2,258.7902832,1.106443167
26.87928581,1003.900024,0.00293,0.0,26.5,0.0,93.80714417,505.9285583,58.32749939,0.0012207,0,0,463.1122437,99.99999237,0.045899,3.642857075,59.56428528,0.0,26.17012215,25,2021-09-07 03:50 +08:00,20.0,1,284.6971741,0.639980972
26.88138008,1003.900024,0.00293,0.0,26.5,0.016245576,111.6482773,516.3793335,58.15137863,0.0012817,0,0,463.8858337,99.80000305,0.045898,3.448275805,61.96551895,0.0,26.16846275,25,2021-09-07 03:55 +08:00,20.0,1,310.1704102,0.231949478
