air_temperature [Celsius],baromatic_pressure [hPa],ceiling_fan_energy [kWh],chilled_water_energy [kWh],dry_bulb_temp [Celsius],global_horizontal_solar_radiation [W/m2],illuminance [lux],indoor_co2 [ppm],indoor_relative_humidity [%],lighting_energy [kWh],occupant_count [number],occupant_presence [binary],outdoor_co2 [ppm],outdoor_relative_humidity [%],plug_load_energy [kWh],pm2.5 [mu_g/m3],sound_pressure_level [dba],supply_air_pressure [Pa],supply_air_temperature [Celsius],temp_setpoint [Celsius],timestamp,voc [ppb],wifi_connected_devices [number],wind_direction [Degree],wind_speed [m/s]
28.10933304,1005.198364,0.0,0.0,26.10163116,0.0,211.1666718,495.2999878,67.77333069,0.0,0,0,463.0935364,97.70488739,0.0,7.966666698,51.50333405,0.0,25.37455368,26.0,2021-09-07 00:00 +08:00,140.7666626,3,108.0929718,0.189999998
28.09785652,1005.198425,0.0,0.0,26.10161591,0.0,230.5,491.9642944,67.12178802,0.0,0,0,462.0963135,97.40485382,0.016602,7.5,50.57143021,0.0,25.37455368,26.0,2021-09-07 00:05 +08:00,130.5,1,91.17533112,0.152101263
28.06500053,1005.200012,0.0,0.0,26.10000038,0.0,240.3300018,479.8666687,65.43966675,0.0,0,0,463.4760742,97.40000153,0.01709,6.666666508,51.29666519,0.0,25.37455368,26.0,2021-09-07 00:10 +08:00,59.13333511,2,88.30000305,0.150000006
27.94400024,1005.200012,0.0,0.0,26.10000038,0.0,229.1533356,471.9666748,64.72100067,0.0,0,0,462.886261,97.29837799,0.016601,5.933333397,50.88333511,0.0,25.37455368,26.0,2021-09-07 00:15 +08:00,28.93333244,2,109.6999969,0.150000006
27.79800034,1005.003235,0.0,0.0,26.10162163,0.0,224.0299988,461.4666748,64.27833557,0.0,0,0,462.4961548,97.40324402,0.01709,5.400000095,50.5933342,0.0,25.37455368,26.0,2021-09-07 00:20 +08:00,20.79999924,2,211.6000061,0.150000006
27.66466713,1005.0,0.0,0.0,26.10162544,0.0,223.1533356,451.0666809,63.96433258,0.0,0,0,464.2661133,97.59999847,0.016602,4.966666698,51.02999878,0.0,25.37455368,26.0,2021-09-07 00:25 +08:00,20.0,3,211.6000061,0.150000006
27.62966728,1005.0,0.0,0.0,26.10000038,0.0,223.6766663,444.7999878,63.48566818,0.0,0,0,462.6895752,97.59999847,0.01709,4.533333302,50.98666763,0.0,25.37455368,26.0,2021-09-07 00:30 +08:00,20.0,2,260.9851685,0.150000006
27.61266708,1005.0,0.0,0.0,26.10000038,0.0,219.2633362,443.5666809,63.10733414,0.0,0,0,462.4994202,97.19999695,0.016601,4.300000191,50.67666626,0.0,25.47460365,26.0,2021-09-07 00:35 +08:00,20.0,2,354.5023193,0.129999995
27.67069054,1004.996765,0.0,0.0,26.20000076,2.0,240.5137939,441.9655151,62.64723969,0.0,0,0,464.4758606,97.19999695,0.016602,4.034482956,51.21724319,0.0,25.47460365,26.0,2021-09-07 00:40 +08:00,20.0,1,272.5443115,0.209999993
27.56299973,1004.900024,0.0,0.0,26.20000076,1.01632762,265.5100098,435.4333191,63.03833389,0.0,0,0,462.3092651,97.19999695,0.01709,4.300000191,52.40999985,0.0,25.47460365,26.0,2021-09-07 00:45 +08:00,27.53333282,3,19.20468712,0.408367246
